ID,MAIN_NAME,SUB_NAME,DETAIL_NAME,FULL_ADDR
101,서울특별시,동대문구,답십리1동,서울특별시 동대문구 답십리1동
102,서울특별시,중랑구,,서울특별시 중랑구 
103,서울특별시,중랑구,면목2동,서울특별시 중랑구 면목2동
104,서울특별시,중랑구,면목4동,서울특별시 중랑구 면목4동
105,서울특별시,중랑구,면목5동,서울특별시 중랑구 면목5동
106,서울특별시,중랑구,면목7동,서울특별시 중랑구 면목7동
107,서울특별시,중랑구,상봉1동,서울특별시 중랑구 상봉1동
108,서울특별시,중랑구,상봉2동,서울특별시 중랑구 상봉2동
109,서울특별시,중랑구,중화1동,서울특별시 중랑구 중화1동
110,서울특별시,중랑구,중화2동,서울특별시 중랑구 중화2동
111,서울특별시,중랑구,묵1동,서울특별시 중랑구 묵1동
112,서울특별시,중랑구,묵2동,서울특별시 중랑구 묵2동
113,서울특별시,중랑구,망우3동,서울특별시 중랑구 망우3동
114,서울특별시,중랑구,신내1동,서울특별시 중랑구 신내1동
115,서울특별시,중랑구,신내2동,서울특별시 중랑구 신내2동
116,서울특별시,중랑구,면목본동,서울특별시 중랑구 면목본동
117,서울특별시,중랑구,면목3·8동,서울특별시 중랑구 면목3·8동
118,서울특별시,중랑구,망우본동,서울특별시 중랑구 망우본동
119,서울특별시,성북구,,서울특별시 성북구 
120,서울특별시,성북구,돈암1동,서울특별시 성북구 돈암1동
121,서울특별시,성북구,돈암2동,서울특별시 성북구 돈암2동
122,서울특별시,성북구,안암동,서울특별시 성북구 안암동
123,서울특별시,성북구,보문동,서울특별시 성북구 보문동
124,서울특별시,성북구,정릉1동,서울특별시 성북구 정릉1동
125,서울특별시,성북구,정릉2동,서울특별시 성북구 정릉2동
126,서울특별시,성북구,정릉3동,서울특별시 성북구 정릉3동
127,서울특별시,성북구,정릉4동,서울특별시 성북구 정릉4동
128,서울특별시,성북구,길음1동,서울특별시 성북구 길음1동
129,서울특별시,성북구,길음2동,서울특별시 성북구 길음2동
130,서울특별시,성북구,월곡1동,서울특별시 성북구 월곡1동
131,서울특별시,성북구,월곡2동,서울특별시 성북구 월곡2동
132,서울특별시,성북구,장위1동,서울특별시 성북구 장위1동
133,서울특별시,성북구,장위2동,서울특별시 성북구 장위2동
134,서울특별시,성북구,장위3동,서울특별시 성북구 장위3동
135,서울특별시,성북구,성북동,서울특별시 성북구 성북동
136,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동
137,서울특별시,성북구,동선동,서울특별시 성북구 동선동
138,서울특별시,성북구,종암동,서울특별시 성북구 종암동
139,서울특별시,성북구,석관동,서울특별시 성북구 석관동
140,서울특별시,강북구,,서울특별시 강북구 
141,서울특별시,강북구,번1동,서울특별시 강북구 번1동
142,서울특별시,강북구,번2동,서울특별시 강북구 번2동
143,서울특별시,강북구,번3동,서울특별시 강북구 번3동
144,서울특별시,강북구,수유1동,서울특별시 강북구 수유1동
145,서울특별시,강북구,수유2동,서울특별시 강북구 수유2동
146,서울특별시,강북구,수유3동,서울특별시 강북구 수유3동
147,서울특별시,강북구,삼양동,서울특별시 강북구 삼양동
148,서울특별시,강북구,미아동,서울특별시 강북구 미아동
149,서울특별시,강북구,송중동,서울특별시 강북구 송중동
150,서울특별시,강북구,송천동,서울특별시 강북구 송천동
151,서울특별시,강북구,삼각산동,서울특별시 강북구 삼각산동
152,서울특별시,강북구,우이동,서울특별시 강북구 우이동
